Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
Astronics Corp,COM,046433108,400,57900,SH,,Other,0,0,57900,02,2002-12-31
Autodesk Inc,COM,052769106,488,34100,SH,,Other,0,0,34100,01,2002-12-31
Avalonbay CMNTYS,REIT,053484101,1213,31000,SH,,Other,0,0,31000,03,2002-12-31
Bandag Inc CL A,COM,059815308,1245,36000,SH,,Other,0,0,36000,02,2002-12-31
Banta Corp,COM,066821109,1345,43000,SH,,Other,0,0,43000,02,2002-12-31
Benihana Inc CL A,COM,082047200,371,27500,SH,,Other,0,0,27500,02,2002-12-31
Bob Evans Farms Inc,COM,096761101,1156,49500,SH,,Other,0,0,49500,02,2002-12-31
Borders Group Inc,COM,099709107,708,44000,SH,,Other,0,0,44000,02,2002-12-31
Bowl AMER Inc CL A,COM,102565108,313,26500,SH,,Other,0,0,26500,02,2002-12-31
BSTN PPTYS Inc,COM,101121101,907,24600,SH,,Other,0,0,24600,03,2002-12-31
BSTN PPTYS Inc,COM,101121101,122,3300,SH,,Sole,3300,0,0,,2002-12-31
Cambrex Corp,COM,132011107,761,25200,SH,,Other,0,0,25200,01,2002-12-31
Camden PPTY TR,BEN,133131102,594,18000,SH,,Other,0,0,18000,03,2002-12-31
Camden PPTY TR,BEN,133131102,112,3400,SH,,Sole,3400,0,0,,2002-12-31
Cascade Corp,COM,147195101,297,18600,SH,,Other,0,0,18600,02,2002-12-31
Caseys Gen Stores,COM,147528103,1320,108100,SH,,Other,0,0,108100,01,2002-12-31
Catellus DEV,COM,149111106,629,31700,SH,,Other,0,0,31700,03,2002-12-31
Cato Corp CL A,COM,149205106,1144,53000,SH,,Other,0,0,53000,02,2002-12-31
CEC Entmt Inc,COM,125137109,771,25100,SH,,Other,0,0,25100,02,2002-12-31
Cendant Corp,COM,151313103,598,57100,SH,,Other,0,0,57100,03,2002-12-31
Centurytel Inc,COM,156700106,1205,41000,SH,,Other,0,0,41000,01,2002-12-31
Chelsea PPTY Group,COM,163421100,653,19600,SH,,Other,0,0,19600,03,2002-12-31
Columbia Sportsware,COM,198516106,622,14000,SH,,Other,0,0,14000,02,2002-12-31
Core Lab NV NLGO 03,,N22717107,631,55600,SH,,Other,0,0,55600,01,2002-12-31
Courier Corp,COM,222660102,211,4600,SH,,Other,0,0,4600,02,2002-12-31
CSS INDS Inc,COM,125906107,1092,33000,SH,,Other,0,0,33000,02,2002-12-31
Deb Shops Inc,COM,242728103,811,36500,SH,,Other,0,0,36500,02,2002-12-31
Delphi Finl Group Cl,A,247131105,1621,42700,SH,,Other,0,0,42700,01,2002-12-31
Dentsply Intl Inc,COM,249030107,387,10400,SH,,Other,0,0,10400,01,2002-12-31
DEVRY Inc Del,COM,251893103,5613,337906,SH,,Sole,337906,0,0,,2002-12-31
Dress Barn Inc,COM,261570105,333,25000,SH,,Other,0,0,25000,02,2002-12-31
Escalade Inc,COM,296056104,448,22400,SH,,Other,0,0,22400,02,2002-12-31
Ethan Allen Int,COM,297602104,516,15000,SH,,Other,0,0,15000,02,2002-12-31
Family DLR Stores,COM,307000109,590,18900,SH,,Other,0,0,18900,01,2002-12-31
Filenet Corp,COM,316869106,437,35800,SH,,Other,0,0,35800,01,2002-12-31
Finishmaster Inc,COM,31787P108,191,16400,SH,,Other,0,0,16400,02,2002-12-31
Farmer Bros Co,COM,307675108,927,3000,SH,,Other,0,0,3000,02,2002-12-31
Frischs Rests Inc,COM,358748101,307,14800,SH,,Other,0,0,14800,02,2002-12-31
G & K SVCS Inc Cl A,COM,361268105,1851,52300,SH,,Other,0,0,52300,01,2002-12-31
Gen Growth PPTYS,COM,370021107,1414,27200,SH,,Other,0,0,27200,03,2002-12-31
Gen Growth PPTYS,COM,370021107,187,3600,SH,,Sole,3600,0,0,,2002-12-31
Hampshire Group LTD,COM,408859106,867,39400,SH,,Other,0,0,39400,02,2002-12-31
Hon INDS Inc,COM,438092108,322,11400,SH,,Other,0,0,11400,02,2002-12-31
Hooker Furniture,COM,439038100,782,42000,SH,,Other,0,0,42000,02,2002-12-31
Host Marriott,REIT,44107P104,845,95500,SH,,Other,0,0,95500,03,2002-12-31
Idexx Labs,COM,45168D104,424,12900,SH,,Other,0,0,12900,01,2002-12-31
Innovative Sol & Supt,COM,45769N105,365,58500,SH,,Other,0,0,58500,02,2002-12-31
Istar Finl Inc,COM,45031U101,269,9600,SH,,Other,0,0,9600,03,2002-12-31
Jack In Box Inc,COM,466367109,190,11000,SH,,Other,0,0,11000,02,2002-12-31
K Swiss Inc CL A,COM,482686102,999,46000,SH,,Other,0,0,46000,02,2002-12-31
Keane Inc,COM,486665102,945,105100,SH,,Other,0,0,105100,01,2002-12-31
Kimco RLTY,COM,49446R109,1287,42000,SH,,Other,0,0,42000,03,2002-12-31
Lancaster Colony,COM,513847103,825,21100,SH,,Other,0,0,21100,01,2002-12-31
Lancaster Colony,COM,513847103,1290,33000,SH,,Other,0,0,33000,02,2002-12-31
Lawson Prods Inc,COM,520776105,644,20800,SH,,Other,0,0,20800,02,2002-12-31
Liberty PPTY TR,BEN,531172104,616,19300,SH,,Other,0,0,19300,03,2002-12-31
Lincare Hldgs Inc,COM,532791100,699,22100,SH,,Other,0,0,22100,01,2002-12-31
Liz Claiborne Inc,COM,539320101,1758,59300,SH,,Other,0,0,59300,01,2002-12-31
Lubrizole Corp,COM,549271104,1220,40000,SH,,Other,0,0,40000,02,2002-12-31
Macerich Co,COM,554382101,517,16800,SH,,Other,0,0,16800,03,2002-12-31
Manpower Inc WIS,COM,56418H100,699,21900,SH,,Other,0,0,21900,01,2002-12-31
Maxwell Shoe Inc CL A,COM,577766108,773,66500,SH,,Other,0,0,66500,02,2002-12-31
Men s Warehouse Inc,COM,587118100,453,26400,SH,,Other,0,0,26400,02,2002-12-31
